nombre,cantidad,unidad_medida,stock_minimo
"BOMBA DMC EN HªFª CON ENGRANAJES CEMENTADOS 3"" EJE LIBRE MARCA PATRACAS",1000,unidad,1
"TETON REPARACION TENSOR 3/4 - 7/8 - 1"" ESP",1000,unidad,1
ARANDELA PERNO BAL MONT AV11,1000,unidad,1
BUJE BAL TEFLON LARGO MONT,1000,unidad,1
PERNO BAL 170mm CON TUERCA ALT MONT,1000,unidad,1
TETON PREPARACION 90X58X3/4 MANOTA DE CHAPA MONT,1000,unidad,1
TUBO LED 48W INTERLEC,1000,unidad,1
FUSIBLE DE VIDRIO 6X30 3 AMP,1000,unidad,1
BASE KALOP 2X16+N,1000,unidad,1
FICHA KALOP 2X16+N,1000,unidad,1
TERMICA TETRAPOLAR 40AMP STECK,1000,unidad,1
ALLEN C/CIL 10X120,1000,unidad,1
"MECHA A/R  EZETA 8,50mm",1000,unidad,1
MACHOS PASO MILIMETRICO CONO 2 Y 3 10X1.50mm,1000,unidad,1
RUEDA POLIP GIRAT 40mm COD 167,1000,unidad,1
"INSERTO EXT 12,00 X 1,75 X INT 8,00 X 1,25 X L 12,8",1000,unidad,1
ACEITE CASTROL 4 T,1000,unidad,1
"PATROLL LINEA AMARILLA SEGMENTADO ø 7"" -ø INTERIOR 22,2mm",1000,unidad,1
CRIQUE 6/ERGO 8155A,1000,unidad,1
TIZA BLANCA CAJAª 144 UNIDADES,1000,unidad,1
"ADAMITE PAPEL PARA JUNTAS ESPESOR 0,4mm (ANCHO 0;80mts",1000,unidad,1
"ADAMITE PAPEL PARA JUNTAS ESPESOR 1;6mm (ANCHO 0,80mtS",1000,unidad,1
TF DOBLE ZF 16s-1650 NEUM MULT ( ARR: Z15 X AB: C/PL.),1000,unidad,1
EJE PROLONGADOR TF ZF 16S-1650,1000,unidad,1
VARIOS VARILLA ROSCADA ZINCADA 3/4,1000,unidad,1
VARIOS VARILLA ROSCADA ZINCADA 1 1/4,1000,unidad,1
GUANTE CUERO GUANTE SOLDADOR,1000,unidad,1
CINTA METRICA EVEL 5 METROS,1000,unidad,1
LENTE LIBUS TRANSPARENTE ARGON,1000,unidad,1
LENTE LIBUS OSCURO ARGON,1000,unidad,1
TF MB G85-6 NEU MULT P C/PLATO,1000,unidad,1
FIX TORNILLO P/MADERA 5 X 45,1000,unidad,1
TACOS DE NYLON FISCHER S8,1000,unidad,1
PIXOPOL 10 MIN GRIS,1000,unidad,1
TUERCA DI-ZN 1 / USS 8 X UNIDAD,1000,unidad,1
MECHA AC/RAO S/CORTA RATIFICADA 8.00MM,1000,unidad,1
"BROCA DE WILDA VASAGO HEXAGONAL 1/4"" 0 8 X 110",1000,unidad,1
AUTOPERFORANTE 8 X 1 1/2 TANQUE MECHA,1000,unidad,1
ARENA C/BOLSON 1TN,1000,unidad,1
PIEDRA PARTIDA C/BOLSON 1 TN,1000,unidad,1
BOLSAS CEMENTO 50KG AVELLANEDA,1000,unidad,1
"CASQUETE TORIESFERICO 1800 6,3",1000,unidad,1
UN 30/1999 REFLECTIVO,1000,unidad,1
UN 33/1267 REFLECTIVO,1000,unidad,1
UN 30/1268 REFLECTIVO,1000,unidad,1
UN 30/1202 REFLECTIVO,1000,unidad,1
UN 33/1264 REFLECTIVO,1000,unidad,1
NUMEROS DEL 0 AL 10,1000,unidad,1
CIRCULO MAX 80,1000,unidad,1
"NIPLES S/COSTURA 0 1"" X300mm",1000,unidad,1
GAR.10K.YPF GAS,1000,unidad,1
APARTAMIENTO II BB,1000,unidad,1
CORREA EVER WEAR 8-088,1000,unidad,1
YUMA 380/TT 1/4,1000,unidad,1
MANGA DESCARNE P/SOLDADOR,1000,unidad,1
CORREA EVER WEAR  B-060,1000,unidad,1
CORREA  EVER WEAR A-042,1000,unidad,1
ESPUMA DE POLIURETANO AEROSOL 500ML,1000,unidad,1
MANGUERA HIDROCARBUROS 13mm 300lbs,1000,unidad,1
TF  MB G330 NEUM MULT C/PL EJE 4560,1000,unidad,1
EJE PROLONGADOR MB G330 C/PLACNEW 2019 (207mm) ( 211MM),1000,unidad,1
BULON G5 HEX USS 5/8X3/ 1/2,1000,unidad,1
BULON G5  HEX USS 5/8X4/,1000,unidad,1
TUERCA AUTOPERFORANTE 5/8 11USS,1000,unidad,1
"JUEGO UNIONES MANIJA BRONCE 2""1/2",1000,unidad,1
"JUEGO UNIONES MANIJA BRONCE 3""",1000,unidad,1
"MACHO MANIJA BRONCE 2""1/2",1000,unidad,1
"CAMACHO HIERRO 2""1/2",1000,unidad,1
"CAMACHO HIERRO 3""",1000,unidad,1
MANIJA BRONCE,1000,unidad,1
TERMINAL DE COBRE,1000,unidad,1
BOLSA DE PRECINTOS SYBYD ALT 2,1000,unidad,1
BOLSA DE PRECINTOS SYBYD ALT 3,1000,unidad,1
BOLSA DE PRECINTOS SYBYD ALTS NEGRO,1000,unidad,1
90mts CABLE TIPO TALLER 2X1 mm,1000,unidad,1
